126
# x y z
0	0	0
0.25	0	0
0.5	0	0
0.75	0	0
1	0	0
1.25	0	0
1.5	0	0
1.75	0	0
2	0	0
2.25	0	0
2.5	0	0
2.75	0	0
3	0	0
3.25	0	0
3.5	0	0
3.75	0	0
4	0	0
4.25	0	0
4.5	0	0
4.75	0	0
5	0	0
5.25	0	0
5.5	0	0
5.75	0	0
6	0	0
6.25	0	0
6.5	0	0
6.75	0	0
7	0	0
7.25	0	0
7.5	0	0
0	0.5	0
0.25	0.5	0
0.5	0.5	0
0.75	0.5	0
1	0.5	0
1.25	0.5	0
1.5	0.5	0
1.75	0.5	0
2	0.5	0
2.25	0.5	0
2.5	0.5	0
2.75	0.5	0
3	0.5	0
3.25	0.5	0
3.5	0.5	0
3.75	0.5	0
4	0.5	0
4.25	0.5	0
4.5	0.5	0
4.75	0.5	0
5	0.5	0
5.25	0.5	0
5.5	0.5	0
5.75	0.5	0
6	0.5	0
6.25	0.5	0
6.5	0.5	0
6.75	0.5	0
7	0.5	0
7.25	0.5	0
7.5	0.5	0
0	1	0
0.25	1	0
0.5	1	0
0.75	1	0
1	1	0
1.25	1	0
1.5	1	0
1.75	1	0
2	1	0
2.25	1	0
2.5	1	0
2.75	1	0
3	1	0
3.25	1	0
3.5	1	0
3.75	1	0
4	1	0
4.25	1	0
4.5	1	0
4.75	1	0
5	1	0
5.25	1	0
5.5	1	0
5.75	1	0
6	1	0
6.25	1	0
6.5	1	0
6.75	1	0
7	1	0
7.25	1	0
7.5	1	0
7.75	1	0
0	1.5	0
0.25	1.5	0
0.5	1.5	0
0.75	1.5	0
1	1.5	0
1.25	1.5	0
1.5	1.5	0
1.75	1.5	0
2	1.5	0
2.25	1.5	0
2.5	1.5	0
2.75	1.5	0
3	1.5	0
3.25	1.5	0
3.5	1.5	0
3.75	1.5	0
4	1.5	0
4.25	1.5	0
4.5	1.5	0
4.75	1.5	0
5	1.5	0
5.25	1.5	0
5.5	1.5	0
5.75	1.5	0
6	1.5	0
6.25	1.5	0
6.5	1.5	0
6.75	1.5	0
7	1.5	0
7.25	1.5	0
7.5	1.5	0
7.75	1.5	0
172
# a b m n rhoa k err ip iperr
65	70	66	67	8.00154440000000e+02	2.69279370307697e+00	3.00012497587341e-02	0.00000000000000e+00	0.00000000000000e+00
65	70	67	68	1.25620812700000e+03	4.71238898038469e+00	3.00007960464341e-02	0.00000000000000e+00	0.00000000000000e+00
65	70	68	69	5.74185503000000e+02	2.69279370307697e+00	3.00017415974363e-02	0.00000000000000e+00	0.00000000000000e+00
66	71	67	68	9.32629770000000e+02	2.69279370307697e+00	3.00010722368427e-02	0.00000000000000e+00	0.00000000000000e+00
66	71	68	69	8.90136340000000e+02	4.71238898038469e+00	3.00011234234072e-02	0.00000000000000e+00	0.00000000000000e+00
66	71	69	70	8.97373531000000e+02	2.69279370307697e+00	3.00011143631559e-02	0.00000000000000e+00	0.00000000000000e+00
67	72	68	69	6.77959511000000e+02	2.69279370307697e+00	3.00014750143390e-02	0.00000000000000e+00	0.00000000000000e+00
67	72	69	70	1.29988738800000e+03	4.71238898038469e+00	3.00007692974093e-02	0.00000000000000e+00	0.00000000000000e+00
